Resolver	Tranco_num	Malicious_num	Malicious_same	Malicious_diff_rcode	Malicious_diff_a_pdns	Malicious_diff_a_private	Malicious_diff_a_self_sinkhole
132.219.142.130	49	4992	2142	1170	1680	0	1	0	
131.150.2.9	48	4970	3279	1150	541	522	14	0	
132.255.109.203	48	4981	3504	1388	89	0	15	0	
131.150.173.148	46	4820	3159	1124	537	516	13	0	
131.255.136.10	46	4912	3503	1391	18	0	13	0	
132.255.109.202	48	4978	3501	1389	88	0	14	0	
131.150.163.152	48	4976	3288	1147	541	522	14	0	
131.148.72.83	48	4977	3287	1146	544	525	14	0	
131.150.185.143	48	4969	3273	1154	542	522	15	0	
132.72.73.235	35	3847	2100	625	1122	0	8	0	
131.148.91.234	48	4973	3290	1142	541	522	14	0	
132.239.254.74	49	4981	3422	1458	101	0	14	0	
131.150.187.59	47	4977	3290	1147	540	521	14	0	
132.255.109.201	48	4978	3502	1389	87	0	13	0	
132.255.109.205	49	4963	3490	1388	85	0	11	0	
131.161.252.45	47	4977	189	1209	3579	0	0	0	
132.255.110.196	48	4969	3493	1389	87	0	12	0	
132.239.254.75	48	4997	3433	1463	101	0	14	0	
131.150.141.186	49	4958	3279	1138	541	521	14	0	
132.239.12.18	42	3437	3318	0	119	0	0	0	
132.219.142.132	48	4978	2189	1163	1626	0	1	0	
132.255.109.199	49	4992	3513	1388	91	0	14	0	
132.255.109.206	47	4992	3513	1387	92	0	15	0	
132.255.109.204	48	4979	3501	1388	90	0	15	0	
130.185.75.81	2	256	192	63	1	0	0	0	
130.185.78.47	2	262	54	207	1	0	0	0	
132.255.109.200	48	4980	3500	1389	91	0	15	0	
130.185.78.126	0	20	13	6	1	0	0	0	
130.185.74.39	0	20	13	6	1	0	0	0	
130.185.75.206	0	20	14	5	1	0	0	0	
130.185.75.138	0	20	15	4	1	0	0	0	
130.185.72.89	0	20	13	6	1	0	0	0	
132.72.73.234	35	3846	2098	625	1123	0	8	0	
130.185.74.98	0	20	13	6	1	0	0	0	
130.185.76.7	5	597	451	142	4	3	0	0	
130.185.74.19	0	21	13	7	1	0	0	0	
130.185.74.196	0	3	2	1	0	0	0	0	
130.185.78.148	0	20	13	6	1	0	0	0	
132.239.70.211	40	3444	3323	0	121	0	0	0	
130.185.76.32	0	20	13	6	1	0	0	0	
130.185.73.90	0	3	2	1	0	0	0	0	
130.185.76.46	0	22	5	16	1	0	1	0	
130.185.78.117	0	3	2	1	0	0	0	0	
130.185.78.182	0	8	6	2	0	0	0	0	
130.185.74.148	0	20	13	6	1	0	0	0	
130.185.74.10	1	106	72	33	1	1	0	0	
130.185.76.125	0	8	4	4	0	0	0	0	
130.185.74.149	0	9	7	1	1	0	0	0	
130.185.75.189	0	9	5	4	0	0	0	0	
130.185.74.206	0	12	7	4	1	1	0	0	
130.185.73.32	0	3	2	1	0	0	0	0	
130.185.76.167	0	9	7	2	0	0	0	0	
130.185.74.246	7	640	306	325	9	5	2	0	
130.185.75.72	0	9	7	2	0	0	0	0	
130.185.74.193	3	368	200	165	3	2	0	0	
130.185.75.150	1	242	110	130	2	1	0	0	
130.185.74.47	4	413	218	190	5	3	1	0	
130.185.74.167	1	195	73	119	3	2	0	0	
130.185.76.105	2	276	199	73	4	3	0	0	
130.185.78.248	1	183	129	53	1	0	0	0	
130.185.77.154	0	49	23	24	2	2	0	0	
130.185.75.40	0	17	12	4	1	1	0	0	
130.185.78.50	1	90	24	66	0	0	0	0	
130.185.78.124	0	17	11	5	1	0	0	0	
130.185.76.165	1	117	35	81	1	1	0	0	
130.185.76.11	0	17	13	3	1	0	0	0	
130.185.75.209	0	17	10	6	1	0	0	0	
20.84.20.79	48	4975	2313	1381	1281	0	0	0	
18.229.83.118	40	4071	1090	0	2981	0	0	0	
18.228.198.246	40	4110	1096	29	2985	0	0	0	
18.194.165.195	40	4081	1093	4	2984	0	0	0	
18.184.146.40	42	4078	1094	5	2979	0	0	0	
18.141.177.2	47	4976	3231	1313	432	413	14	0	
18.229.33.116	41	4076	1095	0	2981	0	0	0	
18.168.21.156	42	4217	1836	1020	1361	0	1	0	
18.183.102.123	47	4977	3205	1324	448	0	14	0	
18.224.11.233	42	4666	3259	1352	55	0	14	0	
18.136.19.32	49	4979	3443	1485	51	33	13	0	
18.194.150.20	49	4974	2328	1169	1477	0	3	0	
18.228.207.11	41	4093	1090	25	2978	0	0	0	
18.178.148.95	47	4974	3421	1422	131	0	14	0	
18.144.137.226	48	4976	3325	1596	55	0	13	0	
93.116.62.65	43	4411	3031	83	1297	1270	15	0	
93.117.75.251	47	4976	3512	950	514	494	15	0	
92.106.212.30	47	4899	2334	1220	1345	2	0	0	
93.175.224.1	47	4994	3288	1175	531	0	15	0	
92.86.27.75	48	4987	3475	146	1366	0	14	0	
92.86.27.121	48	4964	3453	145	1366	0	15	0	
92.115.99.12	48	4966	3483	107	1376	1349	14	0	
92.86.27.93	47	4952	3444	129	1379	0	1	0	
94.182.192.202	0	3	2	1	0	0	0	0	
93.91.154.200	47	4978	1680	1447	1851	0	2	0	
93.116.86.254	49	4991	3517	101	1373	1355	13	0	
92.115.143.116	49	4968	3493	102	1373	1353	15	0	
92.86.179.231	48	4893	3456	105	1332	0	13	0	
93.115.137.130	48	4983	3514	1181	288	269	14	0	
92.63.105.51	48	4958	2288	981	1689	1687	0	0	
93.115.138.178	49	4992	3516	101	1375	1355	15	0	
93.159.155.125	48	4976	3499	114	1363	0	14	0	
93.17.72.240	48	4972	2572	1070	1330	0	10	0	
94.127.59.7	47	4806	3235	1444	127	0	14	0	
92.82.192.247	48	4902	3441	80	1381	0	0	0	
93.91.250.254	48	4972	1639	1527	1806	0	2	0	
92.114.131.24	49	4988	3506	102	1380	1355	13	0	
93.116.223.105	48	4956	3495	942	519	502	12	0	
93.116.70.45	47	4990	3514	102	1374	1355	14	0	
92.82.192.193	47	4958	3434	144	1380	0	0	0	
94.140.14.14	48	4973	3251	1277	445	0	13	0	
92.115.99.233	48	4984	3501	104	1379	1354	15	0	
92.105.231.21	49	4972	2349	1225	1398	2	1	0	
94.140.15.16	49	4987	3104	1199	684	0	15	0	
92.255.172.11	46	4973	3513	1337	123	0	14	0	
92.114.194.215	48	4970	3497	101	1372	1354	13	0	
92.115.177.34	48	4974	4789	105	80	52	13	0	
94.82.15.238	48	3614	3523	0	91	0	14	0	
92.114.204.27	49	4980	3503	104	1373	1355	13	0	
93.86.61.139	49	4980	3513	1190	277	0	13	0	
92.114.214.169	48	4919	0	4919	0	0	0	0	
92.104.185.250	48	4914	2338	1223	1353	1	1	0	
92.86.27.70	11	1228	755	35	438	0	1	0	
93.119.133.17	48	4979	3510	1065	404	384	15	0	
92.86.65.183	48	4856	3436	92	1328	0	15	0	
93.91.153.66	48	4976	1671	1455	1850	0	2	0	
94.176.76.57	47	4991	3511	105	1375	1355	15	0	
94.139.93.203	47	4981	3348	1526	107	0	14	0	
92.115.254.188	49	4974	3501	102	1371	1354	12	0	
92.115.201.181	49	4993	3525	1159	309	289	15	0	
92.115.232.34	48	4976	3500	101	1375	1355	15	0	
94.158.157.99	47	4976	3477	1391	108	0	15	0	
92.45.23.168	48	4900	264	1186	3450	0	0	0	
93.145.203.240	49	4962	368	1252	3342	0	0	0	
92.82.192.239	47	4925	3453	123	1349	0	14	0	
92.114.130.78	48	4979	3503	102	1374	1355	14	0	
92.82.192.209	49	4903	3442	93	1368	0	0	0	
93.116.237.44	48	4978	3509	837	632	612	15	0	
93.117.72.128	47	4982	3503	106	1373	1355	13	0	
94.70.192.116	48	4976	295	2599	2082	0	13	0	
93.91.145.2	49	4981	2869	1434	678	0	7	0	
93.116.91.50	49	4966	3500	1016	450	430	15	0	
93.119.132.13	47	4975	3501	101	1373	1355	13	0	
93.116.247.68	47	4971	3776	105	1090	1066	14	0	
93.119.150.193	48	4976	3501	102	1373	1355	13	0	
93.117.145.58	47	4977	3502	101	1374	1355	14	0	
93.113.84.28	47	4977	3501	102	1374	1355	14	0	
92.86.101.136	49	4943	3440	145	1358	0	13	0	
92.115.243.29	47	4974	3498	102	1374	1355	14	0	
92.106.152.153	49	4973	2351	1225	1397	1	1	0	
92.105.233.39	49	4979	2361	1223	1395	1	0	0	
93.116.45.42	48	4983	3506	102	1375	1355	15	0	
93.119.207.157	49	4980	3505	101	1374	1355	14	0	
92.114.214.88	48	4972	3488	103	1381	1355	14	0	
93.116.57.126	49	4980	3505	101	1374	1355	14	0	
93.116.184.100	49	4984	3504	107	1373	1354	14	0	
93.89.104.228	49	4973	2779	1435	759	0	14	0	
92.172.223.27	48	4977	3289	1572	116	0	12	0	
93.116.70.31	45	4965	3491	101	1373	1354	14	0	
93.116.226.97	48	4970	3494	103	1373	1355	13	0	
93.119.163.74	48	4973	3499	102	1372	1355	12	0	
94.140.14.15	47	4973	3085	1204	684	0	15	0	
92.115.94.208	48	4965	3502	1088	375	356	14	0	
92.86.27.92	48	4930	3441	130	1359	0	1	0	
94.140.15.15	48	4969	3246	1277	446	0	13	0	
94.127.63.6	48	4870	3258	1486	126	0	14	0	
93.116.191.86	48	4981	3513	861	607	587	15	0	
92.104.177.219	49	4950	2058	1386	1506	1503	0	0	
93.115.137.234	47	4976	3512	948	516	497	14	0	
93.116.67.65	49	4981	3505	103	1373	1353	15	0	
92.115.190.253	48	4968	3496	102	1370	1350	15	0	
92.115.61.65	43	4353	3157	700	496	481	12	0	
92.115.61.44	48	4975	3495	105	1375	1355	15	0	
93.159.155.30	47	4980	3501	114	1365	0	15	0	
93.119.166.25	49	4985	3508	103	1374	1355	14	0	
94.74.100.187	47	4971	3222	1304	445	0	14	0	
94.45.141.138	48	4971	3509	1408	54	0	14	0	
93.116.204.164	48	4981	3506	101	1374	1355	14	0	
93.116.13.30	48	4987	3521	1140	326	308	13	0	
92.86.27.90	47	4683	3420	1	1262	0	2	0	
93.115.136.158	47	4975	3502	101	1372	1355	12	0	
93.119.166.48	47	4986	3521	1019	446	427	14	0	
93.113.67.18	48	4970	3495	102	1373	1355	13	0	
92.115.48.136	48	4973	3497	103	1373	1355	13	0	
93.89.105.56	47	4972	2753	1459	760	0	14	0	
93.116.141.27	49	4983	3504	105	1374	1355	14	0	
94.127.59.12	48	4974	3229	1619	126	0	14	0	
